,Delta,XIRR,DD,CAR/MDD,%
0,50,0.08038459165689442,-0.10177939546684522,0.7897923866435207,100.0
1,50,0.09025120933377243,-0.08744921367568614,1.0320414048373008,125.0
2,50,0.09232960713171165,-0.09038351141142886,1.0215315347887304,150.0
3,50,0.09188953023180045,-0.10388176369955149,0.8845588191741222,175.0
4,50,0.07721566177134163,-0.11622997923245426,0.6643351593216247,200.0
5,45,0.05347013269575693,-0.09604327781203015,0.556729569355237,100.0
6,45,0.05932359301392565,-0.11577436527633089,0.5124069812201671,125.0
7,45,0.0573440024029494,-0.09558576957001985,0.5999219618244843,150.0
8,45,0.06592064284492677,-0.09669377439265514,0.6817465060080858,175.0
9,45,0.07283637755371405,-0.10486485354897768,0.6945737784270632,200.0
10,40,0.026850928169215457,-0.10620814578987814,0.252814207135649,100.0
11,40,0.03669277117594458,-0.09863940056093867,0.37198899189656026,125.0
12,40,0.0412863412403527,-0.11375457236289377,0.3629422570254426,150.0
13,40,0.04782040730726395,-0.0712359242284255,0.6712962290476189,175.0
14,40,0.054047367500225735,-0.07992109174609385,0.6762591240861935,200.0
15,35,0.018353976202672297,-0.1023157783807993,0.17938558933073245,100.0
16,35,0.031580344175837084,-0.05091548228523057,0.6202503199109993,125.0
17,35,0.04643978854012687,-0.05943334754128882,0.7813759524123184,150.0
18,35,0.04500955654993515,-0.0498743547320214,0.902458924867797,175.0
19,35,0.05379651441306181,-0.05024307740074674,1.0707249077116097,200.0
20,55,0.0642644773446755,-0.0703889032532814,0.9129915991648813,100.0
21,55,0.06156639502745845,-0.09115955182966085,0.6753696545426238,125.0
22,55,0.06838835346723075,-0.08118047227941572,0.8424236955883224,150.0
23,55,0.049608585291305934,-0.13923969377446366,0.3562819189451857,175.0
24,55,0.030659101536611114,-0.15904153556427636,0.19277417957411694,200.0
25,60,0.06462110282428082,-0.05263133290116684,1.2278066935076268,100.0
26,60,0.061721696392246304,-0.07062647339743444,0.8739172922442477,125.0
27,60,0.04275706804919795,-0.10802245519369136,0.39581648068016706,150.0
28,60,0.039085241514564724,-0.10668356694493841,0.3663660921155497,175.0
29,60,0.007900845268141797,-0.16688344600623928,0.04734349306189667,200.0
30,65,0.054763779045357314,-0.044735373984510995,1.224171705020696,100.0
31,65,0.034805421358712736,-0.05963250081767013,0.583665297974545,125.0
32,65,0.03226100265801641,-0.10412615382002532,0.3098261241241779,150.0
33,65,-0.003710733412411213,-0.17563812600969309,-0.021127152154916673,175.0
34,65,-0.035807225157765035,-0.24467000000000005,-0.14634906264668748,200.0
35,70,0.051656914584808915,-0.03410077389704258,1.5148311513624888,100.0
36,70,0.01849604972870001,-0.05300618639357857,0.34894134038174673,125.0
37,70,0.009060249126452289,-0.08035913482179191,0.11274697203428971,150.0
38,70,-0.04377957102123713,-0.2277641095950642,-0.19221452887845972,175.0
