,Delta,XIRR,DD,CAR/MDD,%
0,50,0.05976808506987977,-0.12344354951148095,0.48417341615991843,100.0
1,50,0.060423891672058215,-0.11500775165465082,0.5253897307157271,125.0
2,50,0.0612292281497667,-0.11972389861194932,0.5114202666271642,150.0
3,50,0.062249344758333235,-0.12794016322136814,0.4865504560176812,175.0
4,50,0.05388866088848993,-0.13163292647996383,0.40938587578004243,200.0
5,45,0.012527104249705164,-0.14524609866481386,0.0862474404810976,100.0
6,45,0.02515390242726235,-0.13370045163474487,0.1881362562333004,125.0
7,45,0.034853073506795056,-0.11673035586338665,0.29857763431805817,150.0
8,45,0.03502251487901875,-0.1261727307986623,0.2775759441626515,175.0
9,45,0.03749549687803557,-0.12743416949411657,0.29423424680275156,200.0
10,40,-0.00927258372300436,-0.18117553082725157,-0.0511801106952221,100.0
11,40,-0.0013549668918547506,-0.16937465274487185,-0.007999820928906819,125.0
12,40,0.01795992957523887,-0.14176972445601588,0.12668381520915592,150.0
13,40,0.010565969288534045,-0.13961208918296686,0.07568090521650277,175.0
14,40,0.01744645769198485,-0.1305886455376074,0.1335985806435258,200.0
15,55,0.02131849058647374,-0.13338753294766037,0.15982371152211694,100.0
16,55,0.027827423872655348,-0.12756915917186418,0.21813598250001465,125.0
17,55,0.024559692653466716,-0.13419067727568978,0.18302085623287925,150.0
18,55,0.02373177371244903,-0.1410803295445182,0.16821461779305255,175.0
19,55,0.01719671541949869,-0.16232268859304733,0.10594153884804042,200.0
20,60,0.017242926859962465,-0.09636033218213558,0.17894216914249247,100.0
21,60,0.022317358951465437,-0.09649305469185854,0.2312846144495458,125.0
22,60,0.010381701100251309,-0.12622813061296012,0.08224554265232378,150.0
23,60,0.005054743001001441,-0.12417377120693418,0.04070701044085847,175.0
24,60,-0.018809509673886404,-0.15911554665790184,-0.1182128966588464,200.0
25,65,0.015545269555579729,-0.072530125844247,0.21432845144874044,100.0
26,65,0.0259297382177962,-0.08397121169405253,0.3087931886974633,125.0
27,65,-0.014050555796914983,-0.14411375370427404,-0.09749628634160183,150.0
28,65,-0.02633296282137508,-0.1963060000000001,-0.13414242469091656,175.0
29,65,-0.054234921885834515,-0.31377,-0.17284929051800527,200.0
30,70,0.021184654186880876,-0.07024324656626912,0.3015899068232101,100.0
31,70,0.003601834351440866,-0.09368710153980386,0.03844536005749513,125.0
32,70,-0.03477604253017062,-0.19033,-0.1827144566288584,150.0
33,70,-0.052097180836736916,-0.26090199999999997,-0.19968103286573857,175.0
