Delta,%,XIRR,DD,CAR/MDD
15,100,2.5% ,(7.8%),0.317 
15,125,4.3% ,(7.7%),0.563 
15,150,6.0% ,(6.2%),0.981 
15,175,6.3% ,(5.5%),1.139 
15,200,7.7% ,(4.9%),1.576 
15,50,(0.0%),(13.9%),(0.001)
15,75,1.4% ,(10.9%),0.130 
20,100,5.1% ,(8.7%),0.591 
20,125,6.9% ,(6.7%),1.029 
20,150,8.0% ,(6.3%),1.266 
20,175,9.8% ,(6.2%),1.580 
20,200,10.7% ,(4.5%),2.366 
20,50,1.0% ,(14.8%),0.067 
20,75,3.7% ,(10.3%),0.358 
25,100,6.9% ,(9.9%),0.694 
25,125,8.6% ,(8.1%),1.058 
25,150,9.8% ,(9.1%),1.076 
25,175,11.0% ,(7.4%),1.481 
25,200,11.4% ,(6.5%),1.762 
25,50,2.6% ,(14.5%),0.181 
25,75,4.6% ,(12.9%),0.362 
30,100,8.7% ,(8.7%),0.998 
30,125,9.2% ,(7.3%),1.255 
30,150,11.9% ,(4.8%),2.477 
30,175,11.9% ,(6.1%),1.939 
30,200,13.0% ,(3.7%),3.568 
30,50,3.4% ,(14.3%),0.240 
30,75,6.1% ,(10.5%),0.585 
35,100,9.3% ,(9.6%),0.963 
35,125,10.6% ,(8.7%),1.214 
35,150,12.7% ,(7.7%),1.644 
35,175,12.9% ,(7.2%),1.804 
35,200,9.8% ,(7.3%),1.342 
35,50,3.5% ,(16.5%),0.213 
35,75,6.8% ,(12.0%),0.570 
40,100,11.4% ,(6.3%),1.804 
40,125,11.6% ,(6.2%),1.873 
40,150,11.6% ,(5.9%),1.966 
40,175,12.3% ,(5.7%),2.156 
40,200,12.0% ,(5.3%),2.245 
40,50,6.3% ,(10.7%),0.591 
40,75,9.6% ,(8.0%),1.194 
45,100,10.9% ,(8.3%),1.301 
45,125,11.7% ,(7.7%),1.512 
45,150,10.7% ,(7.9%),1.356 
45,175,12.0% ,(7.7%),1.556 
45,200,10.9% ,(9.5%),1.147 
45,50,5.1% ,(13.1%),0.390 
45,75,8.6% ,(10.0%),0.859 
50,100,13.4% ,(6.8%),1.975 
50,125,12.7% ,(6.0%),2.132 
50,150,12.5% ,(6.0%),2.100 
50,175,11.3% ,(6.1%),1.869 
50,200,14.1% ,(5.8%),2.451 
50,50,9.2% ,(10.0%),0.911 
50,75,10.8% ,(7.8%),1.394 
55,100,13.6% ,(5.9%),2.314 
55,125,13.0% ,(6.1%),2.144 
55,150,11.9% ,(7.3%),1.627 
55,175,13.6% ,(6.2%),2.172 
55,200,15.2% ,(6.8%),2.227 
55,50,9.8% ,(7.9%),1.248 
55,75,11.7% ,(8.4%),1.401 
60,100,12.0% ,(5.9%),2.042 
60,125,12.4% ,(5.9%),2.120 
60,150,12.3% ,(6.3%),1.956 
60,175,13.7% ,(6.8%),2.018 
60,200,16.0% ,(5.5%),2.918 
60,50,10.7% ,(6.8%),1.568 
60,75,12.9% ,(5.8%),2.214 
65,100,12.0% ,(4.7%),2.536 
65,125,12.6% ,(5.1%),2.497 
65,150,13.9% ,(5.9%),2.350 
65,175,16.1% ,(4.6%),3.485 
65,200,15.9% ,(5.4%),2.965 
65,50,11.3% ,(5.3%),2.131 
65,75,12.6% ,(6.0%),2.102 
70,100,11.7% ,(5.0%),2.320 
70,125,13.4% ,(5.2%),2.550 
70,150,13.8% ,(5.0%),2.741 
70,175,14.9% ,(4.8%),3.075 
70,200,13.9% ,(5.5%),2.508 
70,50,10.7% ,(5.2%),2.054 
70,75,11.3% ,(4.7%),2.389 
75,100,11.9% ,(5.5%),2.153 
75,125,12.3% ,(8.2%),1.494 
75,150,13.0% ,(5.7%),2.271 
75,175,12.8% ,(6.3%),2.022 
75,200,11.2% ,(7.6%),1.470 
75,50,10.5% ,(5.0%),2.087 
75,75,12.1% ,(4.7%),2.578 
80,100,11.2% ,(8.4%),1.327 
80,125,13.1% ,(3.5%),3.773 
80,150,12.2% ,(3.2%),3.818 
80,175,9.0% ,(7.2%),1.252 
80,200,6.8% ,(11.4%),0.597 
80,50,10.9% ,(4.3%),2.514 
80,75,11.7% ,(3.9%),3.018 
85,100,12.9% ,(4.2%),3.104 
85,125,11.0% ,(4.6%),2.389 
85,150,9.1% ,(3.9%),2.326 
85,175,5.8% ,(7.5%),0.769 
85,200,4.2% ,(6.2%),0.676 
85,50,13.3% ,(5.3%),2.527 
85,75,14.5% ,(4.7%),3.111 
90,100,9.9% ,(5.4%),1.839 
90,125,7.2% ,(5.5%),1.304 
90,150,4.8% ,(5.5%),0.871 
90,175,2.6% ,(7.4%),0.348 
90,200,1.7% ,(8.2%),0.206 
90,50,12.9% ,(5.4%),2.378 
90,75,12.0% ,(4.9%),2.473 
95,100,10.7% ,(3.2%),3.381 
95,125,5.4% ,(3.5%),1.557 
95,150,4.2% ,(4.9%),0.860 
95,175,3.4% ,(4.3%),0.804 
95,200,1.8% ,(6.2%),0.286 
95,50,17.2% ,(6.0%),2.874 
95,75,13.4% ,(3.9%),3.466 
