,Delta,%,XIRR,DD,CAR/MDD
0,50,50,-0.010997803551241879,-0.14028581094649784,-0.07839569431178053
1,50,75,0.01865675520713182,-0.08243170320404714,0.2263298522529598
2,50,100,0.04184952607104612,-0.04639155555838681,0.9020936152566764
3,50,125,0.046663425394000334,-0.04272585044993504,1.0921590770598992
4,50,150,0.057198812102862234,-0.04592754398525545,1.2454141271134662
5,50,175,0.0584212172677082,-0.05770495431407885,1.0124125036081104
6,50,200,0.06787116080207597,-0.06369688721023137,1.0655334000556014
7,45,50,-0.025480488016699526,-0.1866858139296338,-0.136488614107035
8,45,75,0.007039830231409567,-0.11585969818796238,0.060761682806981396
9,45,100,0.019926347617124925,-0.07843071155998438,0.25406307326289024
10,45,125,0.02902540714702139,-0.08673374989856364,0.33464951280172966
11,45,150,0.040601427819535955,-0.08381695593849303,0.484405898125557
12,45,175,0.05008005675320081,-0.09023812817546162,0.5549766796561173
13,45,200,0.05056026477696573,-0.11897989240906948,0.42494797863098144
14,40,50,-0.01600930664787437,-0.14760573104204278,-0.10845992587723043
15,40,75,0.014532860092778245,-0.07582474414035145,0.19166381974039964
16,40,100,0.029767322881115037,-0.059261833321081814,0.5023017549901819
17,40,125,0.03425285840164277,-0.053689242974272466,0.6379836351586577
18,40,150,0.05190993640202548,-0.059361256412359675,0.8744750286521438
19,40,175,0.04940723858436487,-0.05802889909532838,0.8514247100087136
20,40,200,0.0599094962983281,-0.06716108921021946,0.8920268715536565
21,35,50,-0.03975738592993428,-0.21159649429524852,-0.18789246042261604
22,35,75,-0.008357876602832624,-0.13057370886588393,-0.06400887801553713
23,35,100,0.013946501841230563,-0.10280390056578004,0.13566121289636052
24,35,125,0.024113060955948458,-0.0948015030002406,0.2543531504546638
25,35,150,0.0392987048142934,-0.09319591601476707,0.42167840067226176
26,35,175,0.04317776962696964,-0.11036669441489277,0.3912210097065594
27,35,200,0.040773531261177436,-0.10127629830629181,0.4025969742482617
28,30,50,-0.02456454008772535,-0.14384532092337465,-0.17077051884649555
29,30,75,-0.0005666472418226709,-0.07948972841933322,-0.007128559287980319
30,30,100,0.01742270930264707,-0.0680258622229366,0.25611890438887475
31,30,125,0.028607771930201278,-0.06843794480604726,0.41801038899218174
32,30,150,0.04846861641178681,-0.05131458818798751,0.9445387388519094
33,30,175,0.04433676260420414,-0.07960723565860484,0.5569438787491892
34,30,200,0.05872514074388215,-0.06570235126154866,0.8938057712745842
35,25,50,-0.02991279720021076,-0.15937321772080926,-0.1876902382219084
36,25,75,-0.01579972312927625,-0.12257675663753831,-0.1288965670383686
37,25,100,0.005946052171093635,-0.09582689335394123,0.06204993152738038
38,25,125,0.020257019531972842,-0.08794414031792774,0.230339616246648
39,25,150,0.02917637805827695,-0.11152929518993393,0.2616028193183656
40,25,175,0.038322192513219555,-0.0989195984538358,0.3874074815528483
41,25,200,0.052492407932182614,-0.09686181522670856,0.5419308714101863
42,20,50,-0.024915200776431518,-0.13334202826892272,-0.1868518208391342
43,20,75,-0.011424772692593592,-0.08255685453382189,-0.13838672460459467
44,20,100,0.0031009371400103104,-0.07237357300737468,0.04284626295421856
45,20,125,0.0164576668000252,-0.06431055512800032,0.2559092635302048
46,20,150,0.026602580197368036,-0.07482392027754803,0.3555357711636838
47,20,175,0.03754460346995124,-0.08834844970848199,0.4249605238556521
48,20,200,0.05026415655949597,-0.06541207286033246,0.7684232338397187
49,15,50,-0.031424447965218594,-0.1462822812370842,-0.214820603694907
50,15,75,-0.02423283130855546,-0.11822941249656871,-0.20496449061910674
51,15,100,-0.015398511580900333,-0.09145764129431355,-0.1683676876309049
52,15,125,-0.005348179487388751,-0.08113302203527195,-0.06591865251936099
53,15,150,0.011990697633786582,-0.06860267570770195,0.1747846933095701
54,15,175,0.015362561967011539,-0.07612694695100042,0.2018018925269622
55,15,200,0.027519218226564425,-0.06808373453310324,0.4041966618794127
56,55,50,0.003884524651547232,-0.14315318120986142,0.02713544064279333
57,55,75,0.015280250581426479,-0.11631617855752019,0.1313682307218351
58,55,100,0.040740808190581006,-0.0703942031441478,0.5787523172491226
59,55,125,0.04304446859634261,-0.07297048757596147,0.5898887348331583
60,55,150,0.057310911170879046,-0.06665126914104902,0.8598622638317106
61,55,175,0.062413014133157196,-0.07210935000369167,0.865532890394407
62,55,200,0.07231810119089846,-0.07419873677362221,0.97465407546679
63,60,50,0.010555905034206519,-0.15587667539620753,0.06771959311664498
64,60,75,0.0318915572511642,-0.10907325297038273,0.2923865969214643
65,60,100,0.03635153101212071,-0.07660474526393224,0.474533671339497
66,60,125,0.06007450633102012,-0.05435622463042322,1.1052001263788356
67,60,150,0.05917976200757748,-0.057753143628948345,1.024702003890816
68,60,175,0.07378981518945099,-0.05869621922953672,1.2571476691009593
69,60,200,0.08503548066110886,-0.05894022433035229,1.4427410419155526
70,65,50,0.002420765312221201,-0.16790730972737677,0.014417271744462369
71,65,75,0.022548939475343952,-0.10535150557542738,0.21403528456648235
72,65,100,0.041910676730184976,-0.06671238457782458,0.6282293309616791
73,65,125,0.052874788116826554,-0.058262270406100436,0.9075305124273053
74,65,150,0.07055349125924146,-0.05226434153222215,1.3499355237402855
75,65,175,0.08224114407286243,-0.04329861422884684,1.8993943694870237
76,65,200,0.09451952087304773,-0.04530648797382886,2.0862248454933567
